arquivo,nome,foco,aderencia_esperada,modelo,cargo_alvo,cidade,email,empresa_principal,paginas_estimadas
curriculo_14_aline-barreto-neves_backend_baixa_academico.pdf,Aline Barreto Neves,backend,baixa,acadêmico,Analista de Sistemas em transição para Backend,Salvador - BA,aline.barreto.neves14@hotmail.com,Sankhya Gestão de Negócios,2
curriculo_15_joao-pedro-carvalho_suporte_alta_compacto.pdf,João Pedro Carvalho,suporte,alta,compacto,Analista de Suporte Técnico,Salvador - BA,joao.pedro.carvalho15@gmail.com,Claro Brasil,2
curriculo_16_mirela-costa-freire_suporte_media_ats.pdf,Mirela Costa Freire,suporte,media,ats,Técnico de Suporte Júnior,Itabuna - BA,mirela.costa.freire16@outlook.com,Teleperformance,2
curriculo_17_bruno-alves-machado_suporte_baixa_lateral.pdf,Bruno Alves Machado,suporte,baixa,lateral,Assistente Administrativo com foco em TI,Aracaju - SE,bruno.alves.machado17@hotmail.com,Dasa,2
curriculo_18_fernanda-rios-batista_suporte_alta_moderno.pdf,Fernanda Rios Batista,suporte,alta,moderno,Analista de Suporte Técnico,Recife - PE,fernanda.rios.batista18@gmail.com,Rede D'Or,2
curriculo_19_caio-martins-leal_suporte_media_academico.pdf,Caio Martins Leal,suporte,media,acadêmico,Técnico de Suporte Júnior,Maceió - AL,caio.martins.leal19@outlook.com,Grupo Boticário,2
curriculo_20_tais-ribeiro-santos_suporte_baixa_compacto.pdf,Taís Ribeiro Santos,suporte,baixa,compacto,Assistente Administrativo com foco em TI,Feira de Santana - BA,tais.ribeiro.santos20@hotmail.com,Neoenergia Coelba,2
curriculo_21_eduardo-lima-fonseca_suporte_alta_ats.pdf,Eduardo Lima Fonseca,suporte,alta,ats,Analista de Suporte Técnico,Fortaleza - CE,eduardo.lima.fonseca21@gmail.com,Braskem,2
curriculo_22_priscila-assis-cardoso_suporte_media_lateral.pdf,Priscila Assis Cardoso,suporte,media,lateral,Técnico de Suporte Júnior,Lauro de Freitas - BA,priscila.assis.cardoso22@outlook.com,Vale,2
curriculo_23_guilherme-rocha-sales_suporte_baixa_moderno.pdf,Guilherme Rocha Sales,suporte,baixa,moderno,Assistente Administrativo com foco em TI,Vitória da Conquista - BA,guilherme.rocha.sales23@hotmail.com,Azul Linhas Aéreas,2
curriculo_24_leticia-castro-moura_suporte_alta_academico.pdf,Letícia Castro Moura,suporte,alta,acadêmico,Analista de Suporte Técnico,João Pessoa - PB,leticia.castro.moura24@gmail.com,FedEx,2
curriculo_25_thiago-nascimento-vieira_suporte_media_compacto.pdf,Thiago Nascimento Vieira,suporte,media,compacto,Técnico de Suporte Júnior,Natal - RN,thiago.nascimento.vieira25@outlook.com,Lojas Renner,2
curriculo_26_camila-azevedo-ramos_suporte_baixa_ats.pdf,Camila Azevedo Ramos,suporte,baixa,ats,Assistente Administrativo com foco em TI,Salvador - BA,camila.azevedo.ramos26@hotmail.com,Avon,2
curriculo_27_rodrigo-pacheco-dias_suporte_alta_lateral.pdf,Rodrigo Pacheco Dias,suporte,alta,lateral,Analista de Suporte Técnico,Petrolina - PE,rodrigo.pacheco.dias27@gmail.com,Coca-Cola FEMSA,2
curriculo_28_juliana-martins-queiroz_suporte_media_moderno.pdf,Juliana Martins Queiroz,suporte,media,moderno,Técnico de Suporte Júnior,Camaçari - BA,juliana.martins.queiroz28@outlook.com,Procter & Gamble Brasil,2
curriculo_29_ana-clara-barbosa_estagio_baixa_academico.pdf,Ana Clara Barbosa,estagio,baixa,acadêmico,Estagiário administrativo com interesse em TI,Salvador - BA,ana.clara.barbosa29@hotmail.com,Universidade Federal da Bahia (UFBA),2
curriculo_30_mateus-fernandes-silva_estagio_alta_compacto.pdf,Mateus Fernandes Silva,estagio,alta,compacto,Estagiário em TI,Feira de Santana - BA,mateus.fernandes.silva30@gmail.com,SENAC Bahia,2
curriculo_31_isabela-nogueira-rocha_estagio_media_ats.pdf,Isabela Nogueira Rocha,estagio,media,ats,Estudante de Tecnologia,Itabuna - BA,isabela.nogueira.rocha31@outlook.com,IEL Bahia,2
curriculo_32_pedro-henrique-maia_estagio_baixa_lateral.pdf,Pedro Henrique Maia,estagio,baixa,lateral,Estagiário administrativo com interesse em TI,Aracaju - SE,pedro.henrique.maia32@hotmail.com,Digital Innovation One,2
curriculo_33_livia-monteiro-castro_estagio_alta_moderno.pdf,Lívia Monteiro Castro,estagio,alta,moderno,Estagiário em TI,Recife - PE,livia.monteiro.castro33@gmail.com,PUC Minas,2
curriculo_34_vinicius-reis-tavares_estagio_media_academico.pdf,Vinícius Reis Tavares,estagio,media,acadêmico,Estudante de Tecnologia,Maceió - AL,vinicius.reis.tavares34@outlook.com,Universidade Estácio de Sá,2
curriculo_35_beatriz-oliveira-cunha_estagio_baixa_compacto.pdf,Beatriz Oliveira Cunha,estagio,baixa,compacto,Estagiário administrativo com interesse em TI,Lauro de Freitas - BA,beatriz.oliveira.cunha35@hotmail.com,EBAC,2
curriculo_36_gabriel-santos-matos_estagio_alta_ats.pdf,Gabriel Santos Matos,estagio,alta,ats,Estagiário em TI,Fortaleza - CE,gabriel.santos.matos36@gmail.com,Ada Tech,2
curriculo_37_mariana-dantas-lima_estagio_media_lateral.pdf,Mariana Dantas Lima,estagio,media,lateral,Estudante de Tecnologia,João Pessoa - PB,mariana.dantas.lima37@outlook.com,Reprograma,2
curriculo_38_felipe-cardoso-pinto_estagio_baixa_moderno.pdf,Felipe Cardoso Pinto,estagio,baixa,moderno,Estagiário administrativo com interesse em TI,Vitória da Conquista - BA,felipe.cardoso.pinto38@hotmail.com,Instituto Ayrton Senna,2
curriculo_39_sofia-almeida-nery_estagio_alta_academico.pdf,Sofia Almeida Nery,estagio,alta,acadêmico,Estagiário em TI,Natal - RN,sofia.almeida.nery39@gmail.com,Cesar School,2
curriculo_40_caue-moreira-reis_estagio_media_compacto.pdf,Cauê Moreira Reis,estagio,media,compacto,Estudante de Tecnologia,Petrolina - PE,caue.moreira.reis40@outlook.com,Tera,2
curriculo_41_larissa-mota-araujo_estagio_baixa_ats.pdf,Larissa Mota Araújo,estagio,baixa,ats,Estagiário administrativo com interesse em TI,Camaçari - BA,larissa.mota.araujo41@hotmail.com,Khan Academy,2
curriculo_42_renan-batista-gomes_estagio_alta_lateral.pdf,Renan Batista Gomes,estagio,alta,lateral,Estagiário em TI,Salvador - BA,renan.batista.gomes42@gmail.com,Senai São Paulo,2
